MZ,OZ,MX,OY,Landmark,MY,OX,SubjID
-25.67910384,-24.9483,-47.9819987,-17.8732,Ft,-16.20372355,-48.5857,B7033
-4.839665265,-4.64672,-31.26418123,-39.073,Ex,-39.90738659,-32.8506,B7033
7.294835418,6.72617,-2.156072036,-41.5131,En,-39.98482676,-1.8702,B7033
8.087189821,8.99093,-4.277855451,-76.1334,Al,-75.35988941,-2.01364,B7033
14.16802201,14.9951,4.695437027,-80.5824,Sbal,-80.23790016,4.8022,B7033
-4.135160066,-2.70603,-8.982874203,-105.27,Ch,-105.9571739,-9.81344,B7033
36.1423,36.1423,14.045,-71.7567,Prn,-71.7567,14.045,B7033
58.66806832,59.675,-54.02778946,32.7917,Ft,31.75070542,-52.9472,C1283
69.639829,70.9815,-42.87071841,9.0298,Ex,7.579275063,-41.7148,C1283
79.71560761,79.7847,-9.983252326,2.26624,En,2.606772755,-9.11296,C1283
81.19236742,82.6167,-13.42978394,-35.1942,Al,-36.35833191,-12.8158,C1283
92.23015671,91.8349,-6.073833509,-37.2124,Sbal,-38.27058508,-5.79943,C1283
72.01559779,72.6997,-23.15350878,-66.4604,Ch,-68.73994659,-21.7337,C1283
107.045,107.045,9.20631,-30.5919,Prn,-30.5919,9.20631,C1283
29.49969169,29.9686,-74.100792,76.6618,Ft,77.1845533,-75.6983,D8328
62.50303413,63.042,-56.52557865,57.4841,Ex,58.24539549,-55.7733,D8328
70.7957632,70.8953,-24.7991957,54.4301,En,54.50668071,-26.9345,D8328
75.84830122,75.0772,-32.15966243,19.8963,Al,20.93160387,-31.6887,D8328
83.51086753,85.1886,-22.60120237,12.5102,Sbal,12.91400779,-24.1067,D8328
69.38601844,69.2569,-37.50301217,-4.98627,Ch,-5.284581329,-39.1276,D8328
105.568,105.568,-13.2494,22.3954,Prn,22.3954,-13.2494,D8328
22.43914801,23.6246,-64.08871302,71.0033,Ft,71.77897901,-64.847,E4996
53.9815119,54.212,-41.39029629,50.6254,Ex,50.74379764,-42.2486,E4996
60.41980564,60.2211,-12.1379432,47.9788,En,47.14293822,-11.732,E4996
60.36717702,60.631,-14.64914867,9.88242,Al,11.77691702,-14.3787,E4996
66.48485563,66.8334,-5.461013821,5.82739,Sbal,5.65479215,-6.90597,E4996
52.86120501,52.5556,-26.79640317,-16.5611,Ch,-15.15471644,-26.6848,E4996
83.1514,83.1514,3.12405,13.7161,Prn,13.7161,3.12405,E4996
-137.6571091,-138.494,-81.73156325,101.7,Ft,103.2452215,-80.7328,F7831
-119.6324022,-119.735,-67.70920897,74.0734,Ex,74.27732484,-67.5611,F7831
-109.3230581,-110.16,-38.67644818,75.0989,En,76.01840934,-38.128,F7831
-113.4227943,-114.83,-37.37917613,30.8086,Al,31.59345145,-36.8439,F7831
-114.1942295,-113.672,-29.12595933,25.725,Sbal,27.20522096,-29.4821,F7831
-122.6586687,-124.106,-43.72719714,-0.587505,Ch,-1.498440148,-42.0906,F7831
-90.5786,-90.5786,-18.8722,37.9978,Prn,37.9978,-18.8722,F7831
-5.157877009,-3.5512,-65.67431481,106.713,Ft,106.1558627,-66.2981,G3259
28.77444841,29.0389,-48.18400885,85.3686,Ex,88.01916063,-48.1452,G3259
34.67004097,35.9689,-20.02971579,81.564,En,81.13647181,-20.0839,G3259
39.50402898,38.4344,-22.48925746,41.7575,Al,43.31759019,-24.039,G3259
44.65002467,44.6618,-19.31689512,40.4652,Sbal,41.24594026,-19.3362,G3259
27.9121316,28.2578,-28.42459114,19.4981,Ch,19.11636521,-30.6512,G3259
65.6721,65.6721,-8.09563,46.6646,Prn,46.6646,-8.09563,G3259
68.86672253,67.6954,-36.87707482,43.3932,Ft,43.42040468,-37.5053,H1178
91.30618259,90.7823,-22.40129794,18.753,Ex,16.87941061,-21.4749,H1178
99.95575445,99.4446,6.217169686,15.3377,En,15.13601634,7.63192,H1178
