SubjID,Landmark,OX,MX,OZ,OY,MY,MZ
B7033,Ft,-48.5857,-47.9819987,-24.9483,-17.8732,-16.20372355,-25.67910384
B7033,Ex,-32.8506,-31.26418123,-4.64672,-39.073,-39.90738659,-4.839665265
B7033,En,-1.8702,-2.156072036,6.72617,-41.5131,-39.98482676,7.294835418
B7033,Al,-2.01364,-4.277855451,8.99093,-76.1334,-75.35988941,8.087189821
B7033,Sbal,4.8022,4.695437027,14.9951,-80.5824,-80.23790016,14.16802201
B7033,Ch,-9.81344,-8.982874203,-2.70603,-105.27,-105.9571739,-4.135160066
B7033,Prn,14.045,14.045,36.1423,-71.7567,-71.7567,36.1423
C1283,Ft,-52.9472,-54.02778946,59.675,32.7917,31.75070542,58.66806832
C1283,Ex,-41.7148,-42.87071841,70.9815,9.0298,7.579275063,69.639829
C1283,En,-9.11296,-9.983252326,79.7847,2.26624,2.606772755,79.71560761
C1283,Al,-12.8158,-13.42978394,82.6167,-35.1942,-36.35833191,81.19236742
C1283,Sbal,-5.79943,-6.073833509,91.8349,-37.2124,-38.27058508,92.23015671
C1283,Ch,-21.7337,-23.15350878,72.6997,-66.4604,-68.73994659,72.01559779
C1283,Prn,9.20631,9.20631,107.045,-30.5919,-30.5919,107.045
D8328,Ft,-75.6983,-74.100792,29.9686,76.6618,77.1845533,29.49969169
D8328,Ex,-55.7733,-56.52557865,63.042,57.4841,58.24539549,62.50303413
D8328,En,-26.9345,-24.7991957,70.8953,54.4301,54.50668071,70.7957632
D8328,Al,-31.6887,-32.15966243,75.0772,19.8963,20.93160387,75.84830122
D8328,Sbal,-24.1067,-22.60120237,85.1886,12.5102,12.91400779,83.51086753
D8328,Ch,-39.1276,-37.50301217,69.2569,-4.98627,-5.284581329,69.38601844
D8328,Prn,-13.2494,-13.2494,105.568,22.3954,22.3954,105.568
E4996,Ft,-64.847,-64.08871302,23.6246,71.0033,71.77897901,22.43914801
E4996,Ex,-42.2486,-41.39029629,54.212,50.6254,50.74379764,53.9815119
E4996,En,-11.732,-12.1379432,60.2211,47.9788,47.14293822,60.41980564
E4996,Al,-14.3787,-14.64914867,60.631,9.88242,11.77691702,60.36717702
E4996,Sbal,-6.90597,-5.461013821,66.8334,5.82739,5.65479215,66.48485563
E4996,Ch,-26.6848,-26.79640317,52.5556,-16.5611,-15.15471644,52.86120501
E4996,Prn,3.12405,3.12405,83.1514,13.7161,13.7161,83.1514
F7831,Ft,-80.7328,-81.73156325,-138.494,101.7,103.2452215,-137.6571091
F7831,Ex,-67.5611,-67.70920897,-119.735,74.0734,74.27732484,-119.6324022
F7831,En,-38.128,-38.67644818,-110.16,75.0989,76.01840934,-109.3230581
F7831,Al,-36.8439,-37.37917613,-114.83,30.8086,31.59345145,-113.4227943
F7831,Sbal,-29.4821,-29.12595933,-113.672,25.725,27.20522096,-114.1942295
F7831,Ch,-42.0906,-43.72719714,-124.106,-0.587505,-1.498440148,-122.6586687
F7831,Prn,-18.8722,-18.8722,-90.5786,37.9978,37.9978,-90.5786
G3259,Ft,-66.2981,-65.67431481,-3.5512,106.713,106.1558627,-5.157877009
G3259,Ex,-48.1452,-48.18400885,29.0389,85.3686,88.01916063,28.77444841
G3259,En,-20.0839,-20.02971579,35.9689,81.564,81.13647181,34.67004097
G3259,Al,-24.039,-22.48925746,38.4344,41.7575,43.31759019,39.50402898
G3259,Sbal,-19.3362,-19.31689512,44.6618,40.4652,41.24594026,44.65002467
G3259,Ch,-30.6512,-28.42459114,28.2578,19.4981,19.11636521,27.9121316
G3259,Prn,-8.09563,-8.09563,65.6721,46.6646,46.6646,65.6721
H1178,Ft,-37.5053,-36.87707482,67.6954,43.3932,43.42040468,68.86672253
